Years,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
"Motor Gasoline, Table 28,ab\ab tra.xlsx",0.829525,0.591314,0.534595,0.444397,0.237677,0.674758,0.490153,0.492282,0.37276,0.270007,0.288316,0.086131,0.056063,0.122964,0.125098,0.044478,0.08835,0.134238,0.056122,0.0759,0.067233,0.07222,0.096644,0.101431,0.149439,0.13993,0.164393,0.147228,0.161288
"Diesel Fuel Oil, Table 28,ab\ab tra.xlsx",0.855835,1.018547,1.086694,1.097506,1.599411,1.934967,1.767811,1.808275,2.097293,2.028778,2.191588,2.60956,2.966599,2.615552,1.856597,2.20794,2.160013,2.291952,2.575437,2.71477,2.995726,2.880749,2.529508,2.37503,2.370124,2.035165,1.984248,0.825967,1.171192
"Ethanol, Table 28,ab\ab tra.xlsx",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.002892,0.005345,0.003937,0.006699,n.a.,n.a.,n.a.,n.a.
"Biodiesel, Table 28,ab\ab tra.xlsx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propane, Table 28,ab\ab tra.xlsx",0.813699,0.722515,0.686358,0.320007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity, Table 29,ab\ab tra.xlsx",0.19,0.075,0.191,0.206,0.194,0.19,0.204,0.24,0.183,0.216,0.257,0.259,0.404,0.432,0.523,0.542,0.364,0.441,0.32,0.346,0.392,0.509,0.376,0.383,0.365,0.382,0.375,0.375,0.41
"CNG, Table 29,ab\ab tra.xlsx",0.040748,0.004451,0.007453,0.010761,0.016719,0.004847,0.013137,0.045459,0.070721,0.04463,0.060788,0.040985,0.045194,0.05098,0.049655,0.048796,0.042698,0.048187,0.045991,0.037251,0.042534,0.111597,0.181793,0.191496,0.777532,0.57961,0.60693,0.696626,0.692782
"Motor Gasoline, Table 29,ab\ab tra.xlsx",0.217227,0.027842,0.00978,0.00917,0.137105,0.136005,0.004644,0.005377,0.007141,0.007637,0.007285,0.015151,0.018899,0.020336,0.011022,0.007642,0.003571,0.00555,0.008048,0.0067,0.00751,0.008077,0.007198,0.025185,0.030614,0.034558,0.043768,0.068804,0.077105
"Diesel Fuel Oil, Table 29,ab\ab tra.xlsx",3.182983,3.505263,3.06159,3.050083,3.153296,4.10019,3.797771,3.968613,3.974716,3.837581,4.198795,5.237808,6.389329,5.144645,4.367312,4.734881,4.347571,5.385241,5.493311,6.259473,6.980388,6.763916,6.174765,7.048934,6.975301,6.478579,5.11286,4.800166,5.769066
"Ethanol, Table 29,ab\ab tra.xlsx",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.000323,0.000398,0.000977,0.001372,n.a.,n.a.,n.a.,n.a.
"Biosdiesel, Table 29,ab\ab tra.xlsx",0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"Propane, Table 29,ab\ab tra.xlsx",0.000422,0.000474,2.9e-05,1.3e-05,0.000999,0.042693,0.000217,0,0,0,0,0.098634,0.179349,0.168397,0.326564,0.687913,0,0,0,0,0,0,0,0,0,0,0,0,0
"Motor Gasoline, Table 30,ab\ab tra.xlsx",0.080415,0.092912,0.081812,0.125705,0.050499,0.584231,0.031615,0.090865,0.085819,0.128326,0.130126,0.013679,0.030214,0.020385,0.01849,0.031929,0.025557,0.024317,0.02528,0.022531,0.021799,0.018697,0.025198,0.040816,0.046169,0.038897,0.039149,0.065993,0.06543
"Diesel Fuel Oil, Table 30,ab\ab tra.xlsx",1.131954,1.117906,0.917978,0.881153,0.991963,0.841335,1.253901,1.502739,1.378192,1.068103,1.095712,1.533413,1.813827,1.314486,0.999451,1.179928,1.057259,1.22938,1.224083,1.005274,1.068854,0.963456,0.931585,1.092523,1.224949,0.951981,0.721574,0.478955,0.514896
"Ethanol, Table 30,ab\ab tra.xlsx",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.000749,0.001394,0.001584,0.00207,n.a.,n.a.,n.a.,n.a.
"Biosdiesel, Table 30,ab\ab tra.xlsx",0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
